filename,date,PERSON,GPE,ORGANIZATION,MONEY,TIME
1101163941122,2004-02-19,"['Albert Smith', 'John Gay']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941070,2003-02-21,"['Albert Smith', 'Don Marquis']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941018,2002-02-22,"['Albert Smith', 'Pamela Anderson']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941123,2004-02-26,"['Albert Smith', 'Lee Iacocca']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941071,2003-02-28,"['Albert Smith', 'Otto von Bismarck']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941019,2002-03-01,"['Albert Smith', 'Ralph W. Sockman']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941124,2004-03-05,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941072,2003-03-06,"['Albert Smith', 'Evelyn Underhill']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941020,2002-03-08,"['Albert Smith', 'Mark Twain']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941125,2004-03-12,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941073,2003-03-13,"['Albert Smith', 'Jeff Foxworthy']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941021,2002-03-15,"['Albert Smith', 'Aristotle']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941126,2004-03-19,"['Albert Smith', 'Hope', 'Kate Chopin']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941074,2003-03-20,"['Albert Smith', 'George Washington', 'Jeff Melvoin']","['Alderwood', 'Northern Exposure']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941022,2002-03-22,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941127,2004-03-26,"['Albert Smith', 'Bob Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941075,2003-03-27,"['Albert Smith', 'Le Discours de la Methode', 'Rene Descartes']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941023,2002-03-29,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941128,2004-04-02,"['Albert Smith', 'Henry David Thoreau', 'Hope', 'Walden']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941076,2003-04-03,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941024,2002-04-05,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941129,2004-04-09,"['Albert Smith', 'Francis Bacon']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941077,2003-04-10,"['Albert Smith', 'W. Somerset Maugham']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941025,2002-04-12,"['Albert Smith', 'Hope', 'Salma Hayek']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941130,2004-04-16,"['Albert Smith', 'Peter Ustinov']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941078,2003-04-17,"['Albert Smith', 'Vladimir Nabokov']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941026,2002-04-19,"['Albert Smith', 'Francis Bacon']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941131,2004-04-23,"['Albert Smith', 'Stephen Ambrose']","['Alderwood', 'U.S.']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941079,2003-04-24,"['Albert Smith', 'Helen Hayes']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941027,2002-04-26,"['Albert Smith', 'Thomas Jefferson']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941132,2004-04-30,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941080,2003-05-01,"['Albert Camus', 'Albert Smith']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941028,2002-05-03,['Albert Smith'],"['Alderwood', 'America']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941133,2004-05-07,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941081,2003-05-08,"['Albert Smith', 'Elizabeth Forsythe Hailey']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941029,2002-05-10,"['Albert Smith', 'Tom Blair']","['Alderwood', 'Cicero']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941134,2004-05-14,"['Albert Smith', 'William Faulkner']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941082,2003-05-15,"['Albert Smith', 'George Herbert']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941030,2002-05-17,"['Albert Smith', 'Marcel Proust']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941135,2004-05-21,"['Albert Smith', 'Oscar Wilde']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941083,2003-05-22,"['Albert Smith', 'Hope', 'Pablo Picasso']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941031,2002-05-24,"['Albert Smith', 'Dan Quayle', 'Sam Donaldson']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941136,2004-05-28,"['Albert Smith', 'Karl Kraus']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941084,2003-05-29,"['Albert Smith', 'Hope', 'Sean Stewart']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941032,2002-05-31,"['Albert Smith', 'Vicar']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941137,2004-06-04,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941085,2003-06-05,"['Albert Smith', 'Julius Caesar']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941033,2002-06-07,"['Albert Smith', 'Sharon Salzberg']",['Alderwood'],"['Power', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101163941138,2004-06-11,"['Albert Smith', 'John Adams']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941086,2003-06-12,"['Albert Smith', 'Bourke Cockran']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941034,2002-06-14,['Albert Smith'],"['Alderwood', 'Saint Teresa']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941139,2004-06-18,"['Albert Smith', 'Charlie Chaplin', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941087,2003-06-19,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941035,2002-06-21,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941140,2004-06-25,"['Albert Smith', 'Man', 'Oliver Wendell Holmes']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941088,2003-06-26,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941036,2002-06-28,['Albert Smith'],"['Alderwood', 'Saint Augustine']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163452222,2003-07-02,"['Don Patino', 'Luthor', 'Mel Sacher', 'Parker']","['Alderwood', 'City of Alderwood', 'County', 'Idaho', 'Montana', 'Port Park', 'River', 'central Washington', 'western Alderwood']",['Hawk Press Inc.'],[],[]
1101163941141,2004-07-02,"['Albert Smith', 'Louis Pasteur']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941089,2003-07-03,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941037,2002-07-05,['Albert Smith'],"['Alderwood', 'Saint Jerome']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941142,2004-07-09,"['Albert Smith', 'Quintus Septimius Tertullianus']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941090,2003-07-10,"['Abbie Hoffman', 'Albert Smith']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941038,2002-07-12,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941143,2004-07-16,"['Albert Smith', 'Robert Benchley']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941091,2003-07-17,"['Albert Smith', 'Anne Michaels']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941039,2002-07-19,"['Albert Smith', 'Hope', 'Horace']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941144,2004-07-23,"['Albert Smith', 'Russell Baker']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941092,2003-07-24,"['Albert Smith', 'Hope', 'Joseph Conrad']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941040,2002-07-26,"['Albert Smith', 'Henry James']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941145,2004-07-30,"['Albert Smith', 'Truman Capote']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941093,2003-07-31,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941041,2002-08-02,"['Albert Smith', 'John Adams']",['Alderwood'],"['Journal', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101163941146,2004-08-06,"['Albert Smith', 'Thomas']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941094,2003-08-07,['Albert Smith'],"['Alderwood', 'Saint Augustine']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941042,2002-08-09,"['Albert Smith', 'H. L. Mencken']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941147,2004-08-13,"['Albert Smith', 'Francois de La Rochefoucauld']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941095,2003-08-14,"['Albert Smith', 'Jennifer Louden']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941043,2002-08-16,"['Albert Smith', 'Hope', 'Law', 'Stuart']",['Alderwood'],"['Retroaction', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101163941148,2004-08-20,"['Albert Smith', 'Cary Grant']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941096,2003-08-21,"['Albert Smith', 'Malcolm Forbes']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941044,2002-08-23,['Albert Smith'],"['Alderwood', 'Ovid']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941149,2004-08-27,"['Albert Smith', 'Bertrand Russell', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941097,2003-08-28,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941045,2002-08-30,"['Albert Smith', 'Marcus Aurelius Antoninus']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941150,2004-09-03,"['Albert Smith', 'Denis Diderot']","['Alderwood', 'Bougainville']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941098,2003-09-04,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941046,2002-09-06,"['Aaron Copland', 'Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941151,2004-09-10,"['Albert Smith', 'Michael Pritchard']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941099,2003-09-11,"['Albert Smith', 'St. Francis Xavier']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941047,2002-09-13,"['Albert Smith', 'Martin Sage', 'Sybil Adelman']","['Alderwood', 'Bumpy Road', 'Northern Exposure']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941152,2004-09-17,"['Albert Smith', 'Thomas Secker']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941100,2003-09-18,"['Albert Smith', 'Frederick Langbridge']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941048,2002-09-20,['Albert Smith'],['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941153,2004-09-24,"['Albert Smith', 'Hope']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941101,2003-09-25,"['Adlai E. Stevenson Jr.', 'Albert Smith']","['Alderwood', 'Chicago', 'Democratic National Convention', 'Illinois']",['Webmaster Copyright Hawk Press Inc.'],[],[]
1101163941049,2002-09-27,"['Albert Smith', 'Hope', 'Oprah Winfrey']",['Alderwood'],['Webmaster Copyright Hawk Press Inc.'],[],[]
1101243446764,2002-01-12,"['Ellie Olmsen', 'Grandview Coach Adolfo Hinojosa', 'Greyhounds', 'Jessica Rodriguez', 'Meghan Waddle', 'Wapato Wolves']","['Ellensburg', 'Grandview', 'Hanford', 'Prosser', 'Wapato', 'West Valley']",['Hawk Press Inc.'],[],['night']
1101243467858,2002-01-12,"['Ann M. Veneman', 'Dave Ettle', 'David Taylor', 'Dino Rossi', 'Doc Hastings', 'John Posse', 'Melissa Browning', 'Steve Eon']","['Alderwood', 'County', 'Mabton', 'Pasco', 'Sammamish', 'United States', 'Valley', 'Washington', 'Washington State']","['Agriculture', 'Association', 'BSE', ""County Cattlemen's Assoc."", 'Hawk Press Inc.', 'Mabton High School', 'Van de Graaf Ranches']",[],[]
1101243468092,2002-01-12,"['Melissa Browning', 'Ron DeHaven', 'Sunny Dene Ranch', 'Wavrin']","['Alberta', 'United States', 'Washington']","['BSE', 'Hawk Press Inc.']",[],[]
1101163870279,2003-01-12,"['Aaron', 'Bob Story', 'Bob Story,can', 'Coach Steve Urrutia', 'Cody Heckert', 'Gordon', 'Gray', 'Griffith', 'Jason Brozovich', 'Jessie Ramirez', 'Riley Sieback', 'Simmons', 'Thomas']","['Alderwood', 'Cantu', 'Cody', 'Ellensburg', 'Hanford', 'Selah', 'miss']","['High School', 'Mid- Valley League', 'Webmaster Copyright Hawk Press Inc.']",[],['night']
1101163870513,2003-01-12,"['Alderwood-Andrea Phillips', 'Coach Leo Gomez', 'Daniela Rivera', 'Ellensburg-Tiffanie Ulmer', 'Erica Mendez', 'Hilary Van de Graaf', 'John Panni', 'Kacee Jo Bootsma', 'Lana Pangle', 'Monique Montelongo', 'Vanessa Alvarez']","['Alderwood', 'Bulldogs', 'Ellensburg', 'Selah']","['Grizzlies', 'High School', 'Mid- Valley League', 'Vikings', 'Webmaster Copyright Hawk Press Inc.']",[],['night']
1101163886904,2004-01-12,"['Aaron Bones', 'Amy Belko', 'Jamie Smart', 'Kevin Chase', 'Shelley Curtis']","['Alderwood', 'Lower Valley', 'Mabton', 'Olympia', 'State', 'Washington']","['AAP', 'Alliance', 'American Academy of Pediatrics', 'Mabton School District', 'School District', 'Washington State Department', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101243446514,2004-01-12,"['Aurelio', 'Blanca', 'Blanca Cortinas', 'Elva Cornejo', 'Gregorio', 'Gregorio Rodriguez, 84', 'Jim Head-Corliss', 'Jim and Jean Corliss', 'Josie Moncado', 'Juan Carlos Rogel', 'Juan Carlos Rogel, 34', 'KAYE HEAD-CORLISS', 'Kellen', 'Kevin Corliss', 'Maria D. DeLeon', 'Maria Del Rosario Chavez', 'Maria Delores Rodriguez', 'Mary Cuello', 'Maya', 'Polly', 'Polly Kaye Head-Corliss', 'Polly Kaye Head-Corliss, 37', 'Richard', 'Robert', 'Rosemary Diaz', 'Socorro Labra Rogel']","['Alderwood', 'Ark.', 'Berkeley', 'Crystal City', 'Grandview', 'Idaho', 'Jones Funeral Home', 'Kennewick', 'Kirkland', 'Lower Valley', 'Mabton', 'Mass', 'Mexico', 'Prosser', 'Rosario Ayala', 'Texas', 'Valley Hills Funeral Home', 'Van Buren', 'Woodinville']","['Community Hospital', 'Grandview High School', 'Hawk Press Inc.', 'Lake Washington United Methodist Church', 'Meridian School', 'Northwest', 'St. Joseph Catholic Church', 'University of California Berkeley', 'Vale Elementary School', 'Western Washington University']",[],"['10 a.m.', '2 p.m.', '5 p.m.', '8 p.m.']"
1101163887201,2004-01-12,"['Bob Story', 'Bob Story,can', 'Bruce Chandler', 'Dan Newhouse', 'Gary Locke', 'OLYMPIA']","['Alderwood', 'Lower Valley', 'Olympia', 'Washington', 'Yakima County']","['Department of Labor and Industries', 'House', 'Webmaster Copyright Hawk Press Inc.']","['$ 1 billion', '$ 250,000']",[]
1101243446045,2002-01-13,"['Jamie Smart', 'Phillip Talmadge', 'Steven Stitler']",['Alderwood'],"['Commission', 'Court', 'Hawk Press Inc.', 'Municipal Court', 'Supreme Court Justice', 'Toppenish Municipal Court', 'U.S. Supreme Court', 'Washington State Commission on Judicial Conduct']",[],[]
1101163870045,2003-01-13,"['Bruce Rinz', 'Councilman Alex de la Cruz', 'Councilman James Sarducci', 'Councilman Sarducci', 'Councilman Tom Seeger', 'Councilwoman Jennie Angel', 'Danny Mendoza', 'Jim Stevens', 'John Panni', ""M'Liss Bierlink"", 'Pro- tem George Greenway', 'Rex Luthor', 'Steve Hill']","['Alderwood', 'City of Alderwood', 'Grandview', 'Interim City', 'SunnyView Park', 'Yakima County']","['City', 'City Council', 'Council', 'REC', 'School District', 'Valley Rural Enterprise Community', 'Webmaster Copyright Hawk Press Inc.']","['$ 15,000']","['last night', 'night']"
1101163869810,2003-01-13,"['Anna', 'John Panni', 'Rick Gray', 'Zach']","['Alabama', 'Alderwood', 'Florida', 'Grandview', 'Idaho', 'Lower Valley', 'Oregon', 'Texas', 'Washington']","['Wal-Mart', 'Webmaster Copyright Hawk Press Inc.']",[],['Noon']
1101163869076,2003-01-13,"['Eve', 'Melissa Browning', 'Mike and Linda Chester', 'Pam Chester']","['Mabton', 'New Year', 'Ore.', 'Portland', 'Selah']","['Silver Dollar Inn', 'Webmaster Copyright Hawk Press Inc.']",[],['8 p.m.']
1101163869544,2003-01-13,"['Abby Berkompas', 'Chelsey Wells', 'Christian JV Coach Steve Martin', 'Crusaders JV', 'Danny Plesha', 'David Pacheco', 'Derrick Simmons', 'Greg Gilleland', 'JV Coach Glenn Braman', 'Jacquie Roberts', 'Knights', 'Knights JV topples Riverside YAKIMA', 'LaSalle', 'Luke Schilperoort', 'Pete Marquez', 'Teammate Eric Crimp', 'Tori Van Wingerden']","['Alderwood', 'Ellensburg', 'Selah', 'Yakima']","['Christian High School', 'High School', 'Riverside', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101163869310,2004-01-13,"['Director Shelley VanBuskirk', 'Ellie Olmsen', 'George W. Bush', 'National Sanctity', 'Reagan']","['Grandview', 'Lower Valley', 'United State', 'United States']","['Blessed Sacrament Catholic Church', 'Human Life', 'Pregnancy Center', 'Reagan administration', 'Webmaster Copyright Hawk Press Inc.']",['$ 5'],[]
1101243445780,2004-01-13,"['Betty Brown', 'Betty Carlyle', 'County Auditor Corky Mattingly', 'Jim Honeyford', 'Joyce Cater', 'OLYMPIA', 'Pearl Hughes Guild', 'Shirley Eshelman']","['Alderwood', 'County', 'Darlan Mountain', 'Lower Valley', 'North Fork', 'South Yakima Conservation District', 'Thailand', 'Valley', 'Valley Highway', 'YAKIMA']","[""Alderwood's Fairway Restaurant"", ""Children's Hospital"", 'County Auditor', 'Energy & Water Committee', 'Hawk Press Inc.', 'Jr. Indelook Club', 'Medical Center of Seattle', 'Nouvella Club', 'Office', 'Sheriff', 'State Senate Commerce & Trade Committee', 'Sunny Spot Restaurant', 'Ways & Means Committee', 'committees-the Rules Committee']",['$ 1.5 million'],"['10 a.m. Monday morning', '11 : 30 a.m.', '7 p.m.', 'midnight', 'morning', 'noon']"
1101243444842,2002-01-14,"['Danelle Cowan', 'Ellie Olmsen', 'Grandview Coach Adolfo Hinojosa', 'Greyhounds', 'Jessica Rodriguez']","['Ellensburg', 'Grandview', 'Hanford', 'West Valley']","['Grandview High School', 'Hawk Press Inc.', 'Rams', 'the Rams']",[],['night']
1101163853419,2003-01-14,"['Aaron Edmonds', 'Alex Valencia', 'Brandon Edwin', 'Carlos Padilla-Garza', 'Charles Espinoza', 'Coach George Paulus', 'Cody Bradshaw', 'Cody Myers', 'Daniel Mendoza', 'Dillon Roueche', 'Evin Dodson', 'Gabe Lara', 'Greg Burbidge', 'Jared Stoker', 'Jesus Alquicira', 'Joe Evans', 'John Panni', 'Ken Pulsiphe', 'Michael Christensen', 'Omar Magana', 'Pete Garza', 'Ray Romero', 'Reece Paulus', 'Rudy Martinez', 'Taylor Gropper', 'takedowns Evans']","['Alderwood', 'Hanford', 'Mid- Valley', 'WEST RICHLAND', 'Wapato']","['High School', 'Mid- Valley League', 'Webmaster Copyright Hawk Press Inc.']",[],['last night']
1101163868841,2003-01-14,"['Bill Gant', 'Carol Stone', 'John Torch']","['Alderwood', 'United States']","['Forum', 'High School', 'School District', 'Webmaster Copyright Hawk Press Inc.', 'YES Committee', 'Yakima Valley Interscholastic Activities Assoc.']","['$ 1.41', '$ 1.61']",[]
1101163868560,2003-01-14,"['Bob Story', 'Councilwoman Jennie Angel', 'John Panni', 'Publisher Tim Graff']","['Alderwood', 'of']","['Council', 'Daily News', 'Webmaster Copyright Hawk Press Inc.']",[],[]
1101163853654,2003-01-14,"['Ellie Olmsen', 'Guinevere', 'Lynn Henry', 'Merlin', 'United States Henry']","['Alderwood', 'Australia', 'North Forsell', 'Prosser', 'San Diego', 'Spokane', 'Tear Road', 'Tull Road', 'United States', 'Wine Country Road']",['Webmaster Copyright Hawk Press Inc.'],"['$ 5,000', '$ 5,000 to $ 6,000', '$ 6,000']",[]
1101163868294,2003-01-14,"['Chief Ted Mana', 'Law', 'Melissa Browning', 'Mike Alvord']","['Alderwood', 'Colombia', 'England', 'Gambia', 'Grandview', 'Nepal', 'Quantico', 'Va.', 'Wapato', 'Washington', 'Yakima County', 'Yellow Brick Road']","['Alderwood Police', 'Bank', 'Bill Bank', 'Daily News', 'FBI', 'Justice Center', 'Kiwanis Club', 'National FBI Academy', 'University of Virginia', 'Webmaster Copyright Hawk Press Inc.']",['15 pounds'],[]
1101243445311,2004-01-14,"['Dave Plesha', 'Ellie Olmsen']",['Alderwood'],"['Daybreak Rotary Club', 'Finance', 'Hawk Press Inc.', 'School District']","['$ 1,000', '$ 1,246,000', '$ 1.4 million', '$ 1.41', '$ 1.61', '$ 11 million']",['morning']
1101243444577,2002-01-15,"['Ellie Olmsen', 'Felicia Nestor', 'George Pauley', 'Michael Hansen']","['D.C', 'United Kingdom', 'United States', 'WASHINGTON']","['APHIS', 'Animal and Plant Health Inspection Service', 'BSE', 'Consumers Union Consumer Policy Institute', 'Government Accountability Project', 'Hawk Press Inc.', 'Northeast Council Food Inspection Locals', 'United States Department of Agriculture']",[],['this morning']
1101163852685,2003-01-15,"['Dana Faubion', 'Ellie Olmsen']","['Arctic', 'Valley', 'Yakima Valley']","['Webmaster Copyright Hawk Press Inc.', 'Yakima County Washington State University']",[],[]
